sección censal,renta media
2807908022,13642.0
2807908023,13793.0
2807908024,17225.0
2807908025,13758.0
2807908026,13478.0
2807908027,14249.0
2807908028,13734.0
2807908029,16846.0
2807908030,16857.0
2807908031,21167.0
2807908032,14339.0
2807908033,23279.0
2807908034,23110.0
2807908035,24941.0
2807908036,19490.0
2807908037,21279.0
2807908038,20702.0
2807908039,20384.0
2807908040,20858.0
2807908041,15762.0
2807908042,16569.0
2807908043,22076.0
2807908044,20860.0
2807908045,15284.0
2807908046,13291.0
2807908047,12777.0
2807908048,12585.0
2807908049,22550.0
2807908050,14843.0
2807908051,17431.0
2807908052,17029.0
2807908053,10268.0
2807908054,17688.0
2807908055,18298.0
2807908056,20714.0
2807908057,20230.0
2807908058,20110.0
2807908059,20224.0
2807908060,21349.0
2807908061,12192.0
2807908062,11909.0
2807908063,10487.0
2807908064,10307.0
2807908065,9899.0
2807908066,10694.0
2807908067,10826.0
2807908068,10835.0
2807908069,10456.0
2807908071,11502.0
2807908072,12112.0
2807908073,12214.0
2807908074,11367.0
2807908075,12107.0
2807908076,11855.0
2807908077,11301.0
2807908078,13091.0
2807908079,12757.0
2807908080,13120.0
2807908081,13405.0
2807908082,11765.0
2807908083,11431.0
2807908084,10455.0
2807908085,11530.0
2807908086,11574.0
2807908087,10550.0
2807908088,11225.0
2807908089,12567.0
2807908090,21456.0
2807908091,13260.0
2807908092,13574.0
2807908093,15740.0
2807908094,16427.0
2807908095,22081.0
2807908096,21897.0
2807908097,23428.0
2807908098,23384.0
2807908099,23220.0
2807908100,25906.0
2807908102,24786.0
2807908103,28764.0
2807908104,11065.0
2807908105,10392.0
2807908106,9683.0
2807908107,9654.0
2807908108,11081.0
2807908109,11191.0
2807908110,14867.0
2807908111,17145.0
2807908112,8790.0
2807908113,12825.0
2807908114,9039.0
2807908115,9260.0
2807908116,10120.0
2807908117,10632.0
2807908119,11264.0
2807908120,10774.0
2807908121,9437.0
2807908122,9451.0
2807908123,10982.0
2807908124,11040.0
2807908125,13413.0
2807908126,12537.0
2807908128,20940.0
2807908129,9280.0
2807908130,13533.0
2807908131,19805.0
2807908132,29364.0
2807908133,19304.0
2807908134,29364.0
2807908135,25211.0
2807908136,17941.0
2807908137,29364.0
2807908138,29364.0
2807908139,20091.0
2807908140,16372.0
2807908141,20452.0
2807908142,15950.0
2807908143,26362.0
2807908144,21896.0
