ID,Value,C,D,E,F,G,H,I
18022,18022,PSOE,43.73,14.26,11.6,18.34,4.7,4.86
12032,12032,PSOE,35.27,18.97,15.99,15.61,7.12,4.97
13013,13013,PSOE,43.14,8.66,12.58,25.16,4.08,4.25
12031,12031,PSOE,43.9,18.29,11.28,11.59,6.71,4.57
11131,11131,PSOE,36.59,16.46,18.6,13.11,7.93,4.57
18021,18021,PSOE,39.04,18.87,11.32,18.14,4.64,5.52
12030,12030,PSOE,37.18,17.74,15.81,14.53,7.05,6.41
11194,11194,PP,21.61,25.11,20.24,13.85,8.98,8.52
13012,13012,PSOE,46.15,8.63,12.95,23.64,3.38,4.69
11143,11143,PSOE,38,17.82,12,16.55,6,5.82
18018,18018,PSOE,34.55,17.06,15.13,16.95,8.69,5.69
12029,12029,PSOE,46.62,17.21,10.02,16.34,5.45,3.92
13002,13002,PSOE,40.46,7.95,16.25,22.97,4.77,5.12
11132,11132,PSOE,41.7,21.62,11.58,12.36,6.18,2.32
11135,11135,PSOE,35.66,0.2,13.15,14.94,9.76,18.92
11157,11157,PSOE,36.84,16.96,14.81,20.47,5.65,4.48
11182,11182,PSOE,28.72,23.42,16.88,11.9,10.67,5.76
10197,10197,PP,23.73,30.51,16.42,10.06,10.06,6.25
13006,13006,PSOE,41.81,9.98,14.01,23.75,3.33,4.04
18017,18017,PSOE,36.41,12.01,13.86,20.52,8.32,5.18
13007,13007,PSOE,42.77,9.44,11.75,26.78,3.47,4.24
11134,11134,PSOE,36.48,22.05,13.65,18.37,3.94,4.46
12028,12028,PSOE,39.62,20.53,11.69,14.08,5.49,6.21
18016,18016,PSOE,36.47,11.65,15.23,17.48,5.26,11.65
11141,11141,PSOE,30.74,25.95,14.71,11.07,8.6,6.78
18065,18065,PSOE,27.23,9.59,18.41,23.15,8.05,10.8
10194,10194,PSOE,29.17,25.13,15.18,14.5,5.73,7.59
18050,18050,PSOE,25.05,12.43,15.61,20.87,9.98,13.34
11129,11129,PSOE,44.94,11.61,15.77,17.56,2.98,5.06
18061,18061,PSOE,25.4,17.98,18.18,13.9,13.64,8.62
10184,10184,PSOE,31.11,26.38,15.15,14.01,6.84,3.75
11142,11142,PSOE,30.23,25.69,16.88,11.84,7.81,6.05
11137,11137,PSOE,31.77,22.46,16.23,10.93,10.25,5.72
13011,13011,PSOE,51.37,8.24,10.71,18.68,3.85,5.22
11158,11158,PSOE,36.73,18.5,16.62,13.94,8.31,4.29
10183,10183,PSOE,32.18,24.91,15.82,13.64,6.73,4.73
11130,11130,PSOE,43.53,12.48,13.88,19.03,5.46,4.84
13016,13016,PSOE,41.06,12.57,12.38,21.41,6.48,3.14
13008,13008,PSOE,40.27,10.07,12.38,23.81,4.76,5.71
